Raumübersicht,,,,,,,,,,
,Raum,Raumart,Verfügbar am (wenn keine Uhrzeit steht 12–03 Uhr),AusstellerIn im Raum,Kategorie,Benötigte Infrastruktur,Personen,Anzahl Tische,Anzahl Stühle,weitere Anmerkungen
EG,Eingangshalle,,,Infostand,Zentral,-,-,-,,-
,Eingangshalle-Nord,,,Garderobe,Zentral,-,-,-,,-
,Eingangshalle-Süd,,,sherLOCKROOMS Live Escape Games Leipzig,nicht zugewiesen,Steckdose,1,1,2,-
,Eingangshalle-Süd,,,Sticker-Tauschbörse,nicht zugewiesen,-,2,2,,-
,Eingangshalle-Süd,,,Notenspur Leipzig e. V.,nicht zugewiesen,Steckdose/Vereteilersteckdose,2,1,5,-
,Eingangshalle-Süd,,,Cyber Secure Tycoon: The Card Game,Brettspiele,-,3,1,5,-
,Eingangshalle-Süd,,,,,,,,,-
,Eingangshalle-Süd,,,,,,,,,-
,Eingangshalle-Süd,,,,,,,,,-
,,,,,,,,,,
EG,Mensa (1. Ebene),,,Tabletop Sachsen e.V.,Brettspiele,-,4,3,,-
,Mensa (2. & 3. Ebene),,,Spielraum LE e.V.,Brettspiele,-,10,5,,-
,Mensa (4. Ebene),,,Würfelpech e.V.,Brettspiele,-,10,5,,-
,Mensa (1. Ebene rechts),,,Primordial,Brettspiele,-,1,1,,-
,Mensa (1. Ebene links),,,RasCoon Productions,Brettspiele,Steckdose,2,1,4,-
,Li013,HWLab,,Lötwerkstatt,Zentral,-,-,-,,-
,Li016,kleiner Seminarraum,10.05.,Nao Roboter,Zentral,-,-,-,,-
,,,,,,,,,,
1,Nord-Foyer,,,SetActive Media,Indie,Steckdose,2,2,6,-
,Nord-Foyer,,,Just2D,Indie,Steckdose,2,2,,Verteiler wird mitgebracht
,Nord-Foyer,,,Hero Saplings,Indie,Steckdosen,5,2,4,-
,Süd-Foyer,,,Tarek Spiegelhalter,Indie,Steckdose,1,1,5,Steckwand
,Süd-Foyer,,,Stepheight,Indie,Steckdosen,2,1,,-
,Süd-Foyer,,,Hannes Bethke,Indie,Steckdose,1,1,2,-
,Süd-Foyer,,,Alexander Pfeifer,Indie,Steckdose,1,1,2,-
,Süd-Foyer,,,Norrimo (Patrick Eckardt),Indie,-,1,2,4,-
,Süd-Foyer,,,Moonlit Monitors UG,Indie,Steckdose,4,2,,-
,Süd-Foyer,,,Kimi Schoffers,Indie,Anschluss für Kabel,1,1,1,-
,Haupt-Foyer,,,Spell Loop,Indie,"3x Bildschirme (+HDMI Kabel)
-3x Tastaturen
3x Mäuse
1x Stereo-Boxen",1,3,6,1 Rednerpult
,Li108,großer Seminarraum,10.05.,Smart Driving,Zentral,Steckdosen,8,5,,"größere Fläche in einem SR (1/2 Raum) zum Auslegen der Fahrbahnplatten
(Dieser Bereich darf von Besuchern nicht betreten werden)
Tische zum Abgrenzen dieses Bereiches und zur Präsentationszwecken"
,Li110,,10.05.,LNC Masters Green Room,LNC Masters,-,-,-,,Technik-Orga selbstständig durch die Projektgruppe
,Li112,großer Seminarraum,10.05.,Wanderweg Games,Indie,"Steckdose
Beamer und Leinwand",2,1,4,-
,Li112,,,Dreambound Studio,Indie,2 Steckdosen,8,1,6,-
,Li112,,,JoyJab Games,Indie,Verteiler Steckdose (3-5 Steckplätze),3,2,4,-
,Li112,,,Horizont Computergrafik,Indie,2 Steckdosen,1,1,1,-
,Li112,,,Riding Turtles,Indie,Steckdose,2,1,,-
,Li112,,,Fourexo Entertainment GmbH,Indie,Steckdose,2,1,3,-
,Li112,,,bloomgeist,Indie,Steckdose,5,2,5,-
,Li112,,,Traveller's Box / Palindrome Games,Indie,"6 Stromquellen
LAN",3,2,,-
,Li113,,10.05.,Hochschule Macromedia,Indie,"LAN
Strom",14,5,,-
,Li113,,,Beta der Hochschule Mittweida,Indie,2 Steckdosen,5,2,2,-
,Li113,,,Nils Ohlig,Indie,Steckdosen,2,1,,-
,Li113,,,Stolen Cow Games,Indie,Steckdose,5,1,,-
,Li113,,,Spaghetti-Code Softworks,Indie,Steckdose,4,1,2,Möglichkeit ein Banner aufzuhängen
,Li113,,,"Martin Steguweit, Richard Puhr",Indie,Verteilerleiste,2,1,4,-
,Li113,,,Binary Bacteria,Indie,Steckdose,2,1,3,-
,Nordflur,,,PandaBee Studios,Indie,"Steckdose
Verteiler",2,2,,-
,Nordflur,,,Rat King,Indie,Steckdosen,2,1,,-
,Nordflur,,,Games & XR Mitteldeutschland e.V.,Indie,Steckdose,1,1,,-
,Li114,,10.05.,TCG,Zentral,,,,,
,Li106,Pool,,,,,,,,
,Li107,Pool,,Minecraft,nicht zugewiesen,die Rechner aus dem Pool (6 Stück wsl.),2 (oder 3),6 (Arbeitsplätze),14,"wir benötigen 6 vorbereitete Arbeitsbereiche, mit jeweils 2 Stühlen und dann nochmal 2 Stühle für die Aussteller"
,Li101,HWLab,,,,,,,,
,Li119,,,LNC Masters Spielerraum 1,LNC Masters,,,,,Technik-Orga selbstständig durch die Projektgruppe
,Li125,,,LNC Masters Spielerraum 2,LNC Masters,,,,,Technik-Orga selbstständig durch die Projektgruppe
,,,,,,,,,,
2,Nord-Foyer,,,Team Retr-O-Mat,Retro,220v Steckdose,3,3,4,-
,Nord-Foyer,,,LUFTHOHEIT,Retro,Steckdosen,2,1,3,-
,Süd-Foyer,,,Medienspürnase,Retro,-,1,3,,Neben Tamas Harczos
,Süd-Foyer,,,Computerkabinett Ilmenau,Retro,4 Steckdosen,3,1,2,Neben Medienspürnase
,Haupt-Foyer,,,Radio Paralax,Retro,"LAN, 3 Lan-Kabel, 2-3 Steckdosenleisten",3,6,-,
,Li201,,09.05.,LAGERRAUM,Zentral,-,-,-,,-
,Li203,großer Seminarraum,10.05.,Haus der Computerspiele,Retro,-,2,5,-,
,Li203,,,Tom Pieske,Retro,-,1,3,,-
,Li203,,,Carrera Bahn,Retro,-,2,4,-,
,Li203,,,The DOS Dudes,Retro,-,3,14,,
,Li203,,,Arcade-Automat,Retro,-,-,-,-,
,Li203,,,Flugsimulator,Retro,-,1,1,2,
,Li204,großer Seminarraum,10.05.,Tilo Wallis,Retro,Steckdose,2,3,6,-
,Li204,,,Eastpixel,Retro,Steckdose,1,1,3,-
,Li204,,,Dr. Wuro Industries,Retro,Steckdose,3,2,6,-
,Li204,,,Jan Fischer,Retro,Steckdose,1,1,,Verteiler wird mitgebracht
,Li204,,,Spectrum-User-Club,Retro,5 Shuco-Steckdosen,4,4,,-
,Li205,mittelgroßer Seminarraum,10.05.,Amiga Dresden,Computerspiele (modern),Beamer,15,5,,-
,Li207,,10.05.,Ingeneure (ABSAGE),Zentral,-,-,-,,-
,Li209,großer Seminarraum,10.05.,Hiro Akazaki Arts,Artists,Steckdose,1,1,1,-
,Li209,,,moony drafts (ABSAGE),Artists,WLAN,2,1,,
,Li209,,,Sarah_art_journey,Artists,WLAN,1,1,,
,Li209,,,GlacernonArt,Artists,Steckdose,2,1,2,
,Li209,,,Manu's art chamber,Artists,Steckdose,1,1,,
,Li209,,,Farbenfisch,Artists,Steckdose,1,1,1,
,Li209,,,RASKAR,Artists,Steckdose,1,1,,
,Li210,,09.05.,Dinchenix,Artists,-,2,1,2,-
,Li210,,,Kindred Souls,Artists,Steckdose,3,1,2,Neben Isabell Kuxdorf-Dixon
,Li210,,,Melina Swansen,Artists,WLAN,3,2,3,Neben KiuChan
,Li210,,,Sariel Snowings,Artists,WLAN,2,1,1,-
,Li210,,,KiuChan,Artists,-,2,2,,Neben Melina Swansen
,Li210,,,La Lyds,Artists,Steckdose,2,2,2,-
,Li210,,,Rebel Sprout,Artists,-,1,1,,Neben Kindred Souls Art
,Li211,,09.05.,LNC Masters Viewing Raum,LNC Masters,-,-,-,,Technik-Orga selbstständig durch die Projektgruppe
,,,,,,,,,,
3,Nord-Foyer,,,Gutenbergschule Leipzig ,AR/VR,4 Steckdosen,3,2,,
,Süd-Foyer,,,Actrio Studio,AR/VR,,,,,
,Süd-Foyer,,,Vaa The Game,AR/VR,"Steckdose
LAN",4,1,3,3x3m Flächer
,Haupt-Foyer,,,Qubi,AR/VR,Steckdosen,2,2,2,-
,Li309,großer Seminarraum,10.05.,Leipzig Esports,Computerspiele (modern),LAN,5,7,30,Verteiler werden selbst mitgebracht
,Li310,mittelgroßer Seminarraum,10.05.,Leipzig Esports,Computerspiele (modern),LAN,5,8,10,Verteiler werden selbst mitgebracht
,Li311,,,BuMerang,Zentral,-,6,5,23,-
,Li318,,10.05.,Science MashUp,Zentral,-,-,-,,-
,Li305,Pool,,,,,,,,
,Li307,Pool,,,,,,,,
,,,,,,,,,,
4,Li415,,09.05.,,,,,,,
,,,,,,,,,,
Nieperbau,Ni Foyer,Foyer,10.05. ab 15 Uhr,,,,,,,
,Ni002,,10.05. ab 15 Uhr,,,,,,,
,Ni003,,10.05. ab 15 Uhr,,,,,,,
,,,,,,,,,,
Trefftz-Bau,Tr L014,,09. und 10.05.,,,,,,,
,Tr L114,,09. und 10.05.,,,,,,,